drug_name,side_effect
aspirin,shortness of breath
aspirin,fatigue
aspirin,blurred vision
aspirin,constipation
aspirin,diarrhea
aspirin,confusion
aspirin,tremors
aspirin,low blood sugar
ibuprofen,joint pain
ibuprofen,constipation
ibuprofen,high blood sugar
ibuprofen,itching
ibuprofen,vomiting
ibuprofen,diarrhea
ibuprofen,low blood sugar
ibuprofen,bleeding
paracetamol,stomach pain
paracetamol,dry mouth
paracetamol,abdominal pain
paracetamol,bruising
paracetamol,vomiting
paracetamol,confusion
paracetamol,palpitations
paracetamol,constipation
naproxen,allergic reaction
naproxen,constipation
naproxen,blurred vision
naproxen,weight gain
naproxen,headache
naproxen,vomiting
naproxen,tremors
naproxen,bruising
diclofenac,dizziness
diclofenac,palpitations
diclofenac,confusion
diclofenac,fatigue
diclofenac,tremors
diclofenac,constipation
diclofenac,weight gain
diclofenac,low blood sugar
celecoxib,insomnia
celecoxib,heartburn
celecoxib,rash
celecoxib,joint pain
celecoxib,constipation
celecoxib,tremors
celecoxib,muscle pain
celecoxib,diarrhea
indomethacin,constipation
indomethacin,itching
indomethacin,low blood sugar
indomethacin,bruising
indomethacin,weakness
indomethacin,drowsiness
indomethacin,allergic reaction
indomethacin,palpitations
ketorolac,low blood pressure
ketorolac,joint pain
ketorolac,cough
ketorolac,dry mouth
ketorolac,blurred vision
ketorolac,abdominal pain
ketorolac,muscle pain
ketorolac,weakness
meloxicam,dry mouth
meloxicam,abdominal pain
meloxicam,cough
meloxicam,low blood sugar
meloxicam,bleeding
meloxicam,drowsiness
meloxicam,joint pain
meloxicam,allergic reaction
piroxicam,palpitations
piroxicam,stomach pain
piroxicam,headache
piroxicam,confusion
piroxicam,abdominal pain
piroxicam,weakness
piroxicam,drowsiness
piroxicam,weight gain
metformin,low blood sugar
metformin,confusion
metformin,diarrhea
metformin,stomach pain
metformin,weakness
metformin,tremors
metformin,palpitations
metformin,blurred vision
glipizide,shortness of breath
glipizide,swelling
glipizide,muscle pain
glipizide,low blood sugar
glipizide,palpitations
glipizide,blurred vision
glipizide,allergic reaction
glipizide,diarrhea
glyburide,abdominal pain
glyburide,tremors
glyburide,high blood pressure
glyburide,stomach pain
glyburide,vomiting
glyburide,joint pain
glyburide,muscle pain
glyburide,fatigue
sitagliptin,bleeding
sitagliptin,palpitations
sitagliptin,weakness
sitagliptin,muscle pain
sitagliptin,nausea
sitagliptin,allergic reaction
sitagliptin,insomnia
sitagliptin,abdominal pain
linagliptin,headache
linagliptin,low blood sugar
linagliptin,constipation
linagliptin,itching
linagliptin,weakness
linagliptin,fatigue
linagliptin,stomach pain
linagliptin,joint pain
alogliptin,dry mouth
alogliptin,blurred vision
alogliptin,weight gain
alogliptin,low blood sugar
alogliptin,diarrhea
alogliptin,abdominal pain
alogliptin,allergic reaction
alogliptin,rash
empagliflozin,tremors
empagliflozin,dizziness
empagliflozin,bruising
empagliflozin,weight loss
empagliflozin,muscle pain
empagliflozin,itching
empagliflozin,insomnia
empagliflozin,swelling
dapagliflozin,weakness
dapagliflozin,allergic reaction
dapagliflozin,fatigue
dapagliflozin,abdominal pain
dapagliflozin,low blood sugar
