drugA,drugB,interaction_risk
aspirin,ibuprofen,Moderate
aspirin,warfarin,Dangerous
aspirin,clopidogrel,Dangerous
aspirin,paracetamol,Safe
ibuprofen,paracetamol,Safe
ibuprofen,warfarin,Dangerous
ibuprofen,metformin,Safe
paracetamol,metformin,Safe
paracetamol,lisinopril,Safe
metformin,insulin,Moderate
metformin,simvastatin,Safe
lisinopril,amlodipine,Safe
lisinopril,metformin,Safe
lisinopril,hydrochlorothiazide,Moderate
simvastatin,amlodipine,Moderate
simvastatin,omeprazole,Safe
omeprazole,metformin,Safe
omeprazole,warfarin,Moderate
amlodipine,simvastatin,Moderate
amlodipine,metoprolol,Moderate
levothyroxine,omeprazole,Moderate
levothyroxine,calcium,Moderate
atorvastatin,amlodipine,Moderate
atorvastatin,warfarin,Moderate
metoprolol,insulin,Moderate
metoprolol,albuterol,Dangerous
losartan,hydrochlorothiazide,Safe
losartan,aspirin,Moderate
albuterol,metoprolol,Dangerous
albuterol,propranolol,Dangerous
gabapentin,hydrocodone,Moderate
gabapentin,tramadol,Moderate
hydrochlorothiazide,lisinopril,Moderate
hydrochlorothiazide,losartan,Safe
prednisone,aspirin,Moderate
prednisone,ibuprofen,Moderate
prednisone,warfarin,Dangerous
amoxicillin,metformin,Safe
amoxicillin,warfarin,Moderate
azithromycin,warfarin,Moderate
azithromycin,simvastatin,Moderate
ciprofloxacin,warfarin,Dangerous
ciprofloxacin,insulin,Moderate
warfarin,aspirin,Dangerous
warfarin,ibuprofen,Dangerous
warfarin,ciprofloxacin,Dangerous
warfarin,azithromycin,Moderate
warfarin,prednisone,Dangerous
clopidogrel,aspirin,Dangerous
clopidogrel,omeprazole,Moderate
sertraline,tramadol,Dangerous
sertraline,warfarin,Moderate
sertraline,aspirin,Moderate
escitalopram,tramadol,Dangerous
escitalopram,ibuprofen,Moderate
fluoxetine,tramadol,Dangerous
fluoxetine,warfarin,Moderate
alprazolam,hydrocodone,Dangerous
alprazolam,oxycodone,Dangerous
alprazolam,alcohol,Dangerous
clonazepam,hydrocodone,Dangerous
clonazepam,oxycodone,Dangerous
tramadol,sertraline,Dangerous
tramadol,escitalopram,Dangerous
tramadol,fluoxetine,Dangerous
oxycodone,alprazolam,Dangerous
oxycodone,clonazepam,Dangerous
hydrocodone,alprazolam,Dangerous
hydrocodone,clonazepam,Dangerous
hydrocodone,gabapentin,Moderate
insulin,metformin,Moderate
insulin,metoprolol,Moderate
insulin,prednisone,Moderate
lisinopril,allopurinol,Safe
atorvastatin,diltiazem,Moderate
metformin,furosemide,Moderate
levothyroxine,iron,Moderate
omeprazole,clopidogrel,Moderate
simvastatin,diltiazem,Moderate
amlodipine,lisinopril,Safe
losartan,spironolactone,Moderate
gabapentin,naproxen,Safe
prednisone,metformin,Moderate
warfarin,acetaminophen,Safe
clopidogrel,lansoprazole,Moderate
