drugA,drugB,interaction_risk
aspirin,ibuprofen,Moderate
aspirin,warfarin,Dangerous
aspirin,clopidogrel,Dangerous
aspirin,paracetamol,Safe
ibuprofen,paracetamol,Safe
ibuprofen,warfarin,Dangerous
ibuprofen,metformin,Safe
paracetamol,metformin,Safe
paracetamol,lisinopril,Safe
metformin,insulin,Moderate
metformin,simvastatin,Safe
lisinopril,amlodipine,Safe
lisinopril,metformin,Safe
lisinopril,hydrochlorothiazide,Moderate
simvastatin,amlodipine,Moderate
simvastatin,omeprazole,Safe
omeprazole,metformin,Safe
omeprazole,warfarin,Moderate
amlodipine,metoprolol,Moderate
levothyroxine,omeprazole,Moderate
levothyroxine,calcium,Moderate
atorvastatin,amlodipine,Moderate
atorvastatin,warfarin,Moderate
metoprolol,insulin,Moderate
metoprolol,albuterol,Dangerous
losartan,hydrochlorothiazide,Safe
losartan,aspirin,Moderate
albuterol,propranolol,Dangerous
gabapentin,hydrocodone,Moderate
gabapentin,tramadol,Moderate
prednisone,aspirin,Moderate
prednisone,ibuprofen,Moderate
prednisone,warfarin,Dangerous
amoxicillin,metformin,Safe
amoxicillin,warfarin,Moderate
azithromycin,warfarin,Moderate
azithromycin,simvastatin,Moderate
ciprofloxacin,warfarin,Dangerous
ciprofloxacin,insulin,Moderate
sertraline,tramadol,Dangerous
escitalopram,tramadol,Dangerous
fluoxetine,tramadol,Dangerous
alprazolam,hydrocodone,Dangerous
alprazolam,oxycodone,Dangerous
alprazolam,alcohol,Dangerous
ibuprofen,aspirin,Moderate
warfarin,aspirin,Dangerous
clopidogrel,aspirin,Dangerous
paracetamol,aspirin,Safe
paracetamol,ibuprofen,Safe
warfarin,ibuprofen,Dangerous
metformin,ibuprofen,Safe
metformin,paracetamol,Safe
lisinopril,paracetamol,Safe
insulin,metformin,Moderate
simvastatin,metformin,Safe
amlodipine,lisinopril,Safe
metformin,lisinopril,Safe
hydrochlorothiazide,lisinopril,Moderate
amlodipine,simvastatin,Moderate
omeprazole,simvastatin,Safe
metformin,omeprazole,Safe
warfarin,omeprazole,Moderate
metoprolol,amlodipine,Moderate
omeprazole,levothyroxine,Moderate
calcium,levothyroxine,Moderate
amlodipine,atorvastatin,Moderate
warfarin,atorvastatin,Moderate
insulin,metoprolol,Moderate
albuterol,metoprolol,Dangerous
hydrochlorothiazide,losartan,Safe
aspirin,losartan,Moderate
propranolol,albuterol,Dangerous
hydrocodone,gabapentin,Moderate
tramadol,gabapentin,Moderate
aspirin,prednisone,Moderate
ibuprofen,prednisone,Moderate
warfarin,prednisone,Dangerous
metformin,amoxicillin,Safe
warfarin,amoxicillin,Moderate
warfarin,azithromycin,Moderate
simvastatin,azithromycin,Moderate
warfarin,ciprofloxacin,Dangerous
insulin,ciprofloxacin,Moderate
tramadol,sertraline,Dangerous
tramadol,escitalopram,Dangerous
tramadol,fluoxetine,Dangerous
hydrocodone,alprazolam,Dangerous
oxycodone,alprazolam,Dangerous
alcohol,alprazolam,Dangerous
ibuprofen,aspirin,Moderate
warfarin,aspirin,Dangerous
clopidogrel,aspirin,Dangerous
paracetamol,aspirin,Safe
paracetamol,ibuprofen,Safe
warfarin,ibuprofen,Dangerous
metformin,ibuprofen,Safe
metformin,paracetamol,Safe
lisinopril,paracetamol,Safe
insulin,metformin,Moderate
simvastatin,metformin,Safe
amlodipine,lisinopril,Safe
metformin,lisinopril,Safe
hydrochlorothiazide,lisinopril,Moderate
amlodipine,simvastatin,Moderate
omeprazole,simvastatin,Safe
metformin,omeprazole,Safe
warfarin,omeprazole,Moderate
metoprolol,amlodipine,Moderate
omeprazole,levothyroxine,Moderate
calcium,levothyroxine,Moderate
amlodipine,atorvastatin,Moderate
warfarin,atorvastatin,Moderate
insulin,metoprolol,Moderate
albuterol,metoprolol,Dangerous
hydrochlorothiazide,losartan,Safe
aspirin,losartan,Moderate
propranolol,albuterol,Dangerous
hydrocodone,gabapentin,Moderate
tramadol,gabapentin,Moderate
aspirin,prednisone,Moderate
ibuprofen,prednisone,Moderate
warfarin,prednisone,Dangerous
metformin,amoxicillin,Safe
warfarin,amoxicillin,Moderate
warfarin,azithromycin,Moderate
simvastatin,azithromycin,Moderate
warfarin,ciprofloxacin,Dangerous
insulin,ciprofloxacin,Moderate
tramadol,sertraline,Dangerous
tramadol,escitalopram,Dangerous
tramadol,fluoxetine,Dangerous
hydrocodone,alprazolam,Dangerous
oxycodone,alprazolam,Dangerous
alcohol,alprazolam,Dangerous
ibuprofen,aspirin,Moderate
warfarin,aspirin,Dangerous
clopidogrel,aspirin,Dangerous
paracetamol,aspirin,Safe
paracetamol,ibuprofen,Safe
warfarin,ibuprofen,Dangerous
metformin,ibuprofen,Safe
metformin,paracetamol,Safe
lisinopril,paracetamol,Safe
insulin,metformin,Moderate
simvastatin,metformin,Safe
amlodipine,lisinopril,Safe
metformin,lisinopril,Safe
hydrochlorothiazide,lisinopril,Moderate
amlodipine,simvastatin,Moderate
omeprazole,simvastatin,Safe
metformin,omeprazole,Safe
warfarin,omeprazole,Moderate
metoprolol,amlodipine,Moderate
omeprazole,levothyroxine,Moderate
calcium,levothyroxine,Moderate
amlodipine,atorvastatin,Moderate
warfarin,atorvastatin,Moderate
insulin,metoprolol,Moderate
albuterol,metoprolol,Dangerous
hydrochlorothiazide,losartan,Safe
aspirin,losartan,Moderate
propranolol,albuterol,Dangerous
hydrocodone,gabapentin,Moderate
tramadol,gabapentin,Moderate
aspirin,prednisone,Moderate
ibuprofen,prednisone,Moderate
warfarin,prednisone,Dangerous
metformin,amoxicillin,Safe
warfarin,amoxicillin,Moderate
warfarin,azithromycin,Moderate
simvastatin,azithromycin,Moderate
warfarin,ciprofloxacin,Dangerous
insulin,ciprofloxacin,Moderate
tramadol,sertraline,Dangerous
tramadol,escitalopram,Dangerous
tramadol,fluoxetine,Dangerous
hydrocodone,alprazolam,Dangerous
oxycodone,alprazolam,Dangerous
alcohol,alprazolam,Dangerous
ibuprofen,aspirin,Moderate
warfarin,aspirin,Dangerous
clopidogrel,aspirin,Dangerous
paracetamol,aspirin,Safe
paracetamol,ibuprofen,Safe
warfarin,ibuprofen,Dangerous
metformin,ibuprofen,Safe
metformin,paracetamol,Safe
lisinopril,paracetamol,Safe
insulin,metformin,Moderate
simvastatin,metformin,Safe
amlodipine,lisinopril,Safe
metformin,lisinopril,Safe
hydrochlorothiazide,lisinopril,Moderate
amlodipine,simvastatin,Moderate
omeprazole,simvastatin,Safe
metformin,omeprazole,Safe
warfarin,omeprazole,Moderate
metoprolol,amlodipine,Moderate
omeprazole,levothyroxine,Moderate
calcium,levothyroxine,Moderate
amlodipine,atorvastatin,Moderate
warfarin,atorvastatin,Moderate
insulin,metoprolol,Moderate
albuterol,metoprolol,Dangerous
hydrochlorothiazide,losartan,Safe
aspirin,losartan,Moderate
propranolol,albuterol,Dangerous
hydrocodone,gabapentin,Moderate
tramadol,gabapentin,Moderate
aspirin,prednisone,Moderate
ibuprofen,prednisone,Moderate
warfarin,prednisone,Dangerous
metformin,amoxicillin,Safe
warfarin,amoxicillin,Moderate
warfarin,azithromycin,Moderate
simvastatin,azithromycin,Moderate
warfarin,ciprofloxacin,Dangerous
insulin,ciprofloxacin,Moderate
tramadol,sertraline,Dangerous
tramadol,escitalopram,Dangerous
tramadol,fluoxetine,Dangerous
hydrocodone,alprazolam,Dangerous
oxycodone,alprazolam,Dangerous
alcohol,alprazolam,Dangerous
ibuprofen,aspirin,Moderate
warfarin,aspirin,Dangerous
clopidogrel,aspirin,Dangerous
paracetamol,aspirin,Safe
paracetamol,ibuprofen,Safe
warfarin,ibuprofen,Dangerous
metformin,ibuprofen,Safe
metformin,paracetamol,Safe
lisinopril,paracetamol,Safe
insulin,metformin,Moderate
simvastatin,metformin,Safe
amlodipine,lisinopril,Safe
metformin,lisinopril,Safe
hydrochlorothiazide,lisinopril,Moderate
amlodipine,simvastatin,Moderate
omeprazole,simvastatin,Safe
metformin,omeprazole,Safe
warfarin,omeprazole,Moderate
metoprolol,amlodipine,Moderate
omeprazole,levothyroxine,Moderate
calcium,levothyroxine,Moderate
amlodipine,atorvastatin,Moderate
warfarin,atorvastatin,Moderate
insulin,metoprolol,Moderate
albuterol,metoprolol,Dangerous
hydrochlorothiazide,losartan,Safe
aspirin,losartan,Moderate
propranolol,albuterol,Dangerous
hydrocodone,gabapentin,Moderate
tramadol,gabapentin,Moderate
aspirin,prednisone,Moderate
ibuprofen,prednisone,Moderate
warfarin,prednisone,Dangerous
metformin,amoxicillin,Safe
warfarin,amoxicillin,Moderate
warfarin,azithromycin,Moderate
simvastatin,azithromycin,Moderate
warfarin,ciprofloxacin,Dangerous
insulin,ciprofloxacin,Moderate
tramadol,sertraline,Dangerous
tramadol,escitalopram,Dangerous
tramadol,fluoxetine,Dangerous
hydrocodone,alprazolam,Dangerous
oxycodone,alprazolam,Dangerous
alcohol,alprazolam,Dangerous
ibuprofen,aspirin,Moderate
warfarin,aspirin,Dangerous
clopidogrel,aspirin,Dangerous
paracetamol,aspirin,Safe
paracetamol,ibuprofen,Safe
warfarin,ibuprofen,Dangerous
metformin,ibuprofen,Safe
metformin,paracetamol,Safe
lisinopril,paracetamol,Safe
insulin,metformin,Moderate
simvastatin,metformin,Safe
amlodipine,lisinopril,Safe
metformin,lisinopril,Safe
hydrochlorothiazide,lisinopril,Moderate
amlodipine,simvastatin,Moderate
omeprazole,simvastatin,Safe
metformin,omeprazole,Safe
warfarin,omeprazole,Moderate
metoprolol,amlodipine,Moderate
omeprazole,levothyroxine,Moderate
calcium,levothyroxine,Moderate
amlodipine,atorvastatin,Moderate
warfarin,atorvastatin,Moderate
insulin,metoprolol,Moderate
albuterol,metoprolol,Dangerous
hydrochlorothiazide,losartan,Safe
aspirin,losartan,Moderate
propranolol,albuterol,Dangerous
hydrocodone,gabapentin,Moderate
tramadol,gabapentin,Moderate
aspirin,prednisone,Moderate
ibuprofen,prednisone,Moderate
warfarin,prednisone,Dangerous
metformin,amoxicillin,Safe
warfarin,amoxicillin,Moderate
warfarin,azithromycin,Moderate
simvastatin,azithromycin,Moderate
warfarin,ciprofloxacin,Dangerous
insulin,ciprofloxacin,Moderate
tramadol,sertraline,Dangerous
tramadol,escitalopram,Dangerous
tramadol,fluoxetine,Dangerous
hydrocodone,alprazolam,Dangerous
oxycodone,alprazolam,Dangerous
alcohol,alprazolam,Dangerous
ibuprofen,aspirin,Moderate
warfarin,aspirin,Dangerous
clopidogrel,aspirin,Dangerous
paracetamol,aspirin,Safe
paracetamol,ibuprofen,Safe
warfarin,ibuprofen,Dangerous
metformin,ibuprofen,Safe
metformin,paracetamol,Safe
lisinopril,paracetamol,Safe
insulin,metformin,Moderate
simvastatin,metformin,Safe
amlodipine,lisinopril,Safe
metformin,lisinopril,Safe
hydrochlorothiazide,lisinopril,Moderate
amlodipine,simvastatin,Moderate
omeprazole,simvastatin,Safe
metformin,omeprazole,Safe
warfarin,omeprazole,Moderate
metoprolol,amlodipine,Moderate
omeprazole,levothyroxine,Moderate
calcium,levothyroxine,Moderate
amlodipine,atorvastatin,Moderate
warfarin,atorvastatin,Moderate
insulin,metoprolol,Moderate
albuterol,metoprolol,Dangerous
hydrochlorothiazide,losartan,Safe
aspirin,losartan,Moderate
propranolol,albuterol,Dangerous
hydrocodone,gabapentin,Moderate
tramadol,gabapentin,Moderate
aspirin,prednisone,Moderate
ibuprofen,prednisone,Moderate
warfarin,prednisone,Dangerous
metformin,amoxicillin,Safe
warfarin,amoxicillin,Moderate
warfarin,azithromycin,Moderate
simvastatin,azithromycin,Moderate
warfarin,ciprofloxacin,Dangerous
insulin,ciprofloxacin,Moderate
tramadol,sertraline,Dangerous
tramadol,escitalopram,Dangerous
tramadol,fluoxetine,Dangerous
hydrocodone,alprazolam,Dangerous
oxycodone,alprazolam,Dangerous
alcohol,alprazolam,Dangerous
ibuprofen,aspirin,Moderate
warfarin,aspirin,Dangerous
clopidogrel,aspirin,Dangerous
paracetamol,aspirin,Safe
paracetamol,ibuprofen,Safe
warfarin,ibuprofen,Dangerous
metformin,ibuprofen,Safe
metformin,paracetamol,Safe
lisinopril,paracetamol,Safe
insulin,metformin,Moderate
simvastatin,metformin,Safe
amlodipine,lisinopril,Safe
metformin,lisinopril,Safe
hydrochlorothiazide,lisinopril,Moderate
amlodipine,simvastatin,Moderate
omeprazole,simvastatin,Safe
metformin,omeprazole,Safe
warfarin,omeprazole,Moderate
metoprolol,amlodipine,Moderate
omeprazole,levothyroxine,Moderate
calcium,levothyroxine,Moderate
amlodipine,atorvastatin,Moderate
warfarin,atorvastatin,Moderate
insulin,metoprolol,Moderate
albuterol,metoprolol,Dangerous
hydrochlorothiazide,losartan,Safe
aspirin,losartan,Moderate
propranolol,albuterol,Dangerous
hydrocodone,gabapentin,Moderate
tramadol,gabapentin,Moderate
aspirin,prednisone,Moderate
ibuprofen,prednisone,Moderate
warfarin,prednisone,Dangerous
metformin,amoxicillin,Safe
warfarin,amoxicillin,Moderate
warfarin,azithromycin,Moderate
simvastatin,azithromycin,Moderate
warfarin,ciprofloxacin,Dangerous
insulin,ciprofloxacin,Moderate
tramadol,sertraline,Dangerous
tramadol,escitalopram,Dangerous
tramadol,fluoxetine,Dangerous
hydrocodone,alprazolam,Dangerous
oxycodone,alprazolam,Dangerous
alcohol,alprazolam,Dangerous
ibuprofen,aspirin,Moderate
warfarin,aspirin,Dangerous
clopidogrel,aspirin,Dangerous
paracetamol,aspirin,Safe
paracetamol,ibuprofen,Safe
warfarin,ibuprofen,Dangerous
metformin,ibuprofen,Safe
metformin,paracetamol,Safe
lisinopril,paracetamol,Safe
insulin,metformin,Moderate
simvastatin,metformin,Safe
amlodipine,lisinopril,Safe
metformin,lisinopril,Safe
hydrochlorothiazide,lisinopril,Moderate
amlodipine,simvastatin,Moderate
omeprazole,simvastatin,Safe
metformin,omeprazole,Safe
warfarin,omeprazole,Moderate
metoprolol,amlodipine,Moderate
omeprazole,levothyroxine,Moderate
calcium,levothyroxine,Moderate
amlodipine,atorvastatin,Moderate
warfarin,atorvastatin,Moderate
insulin,metoprolol,Moderate
albuterol,metoprolol,Dangerous
hydrochlorothiazide,losartan,Safe
aspirin,losartan,Moderate
propranolol,albuterol,Dangerous
hydrocodone,gabapentin,Moderate
tramadol,gabapentin,Moderate
aspirin,prednisone,Moderate
ibuprofen,prednisone,Moderate
warfarin,prednisone,Dangerous
metformin,amoxicillin,Safe
warfarin,amoxicillin,Moderate
warfarin,azithromycin,Moderate
simvastatin,azithromycin,Moderate
warfarin,ciprofloxacin,Dangerous
insulin,ciprofloxacin,Moderate
tramadol,sertraline,Dangerous
tramadol,escitalopram,Dangerous
tramadol,fluoxetine,Dangerous
hydrocodone,alprazolam,Dangerous
oxycodone,alprazolam,Dangerous
alcohol,alprazolam,Dangerous
ibuprofen,aspirin,Moderate
warfarin,aspirin,Dangerous
clopidogrel,aspirin,Dangerous
paracetamol,aspirin,Safe
paracetamol,ibuprofen,Safe
warfarin,ibuprofen,Dangerous
metformin,ibuprofen,Safe
metformin,paracetamol,Safe
lisinopril,paracetamol,Safe
insulin,metformin,Moderate
simvastatin,metformin,Safe
amlodipine,lisinopril,Safe
metformin,lisinopril,Safe
hydrochlorothiazide,lisinopril,Moderate
amlodipine,simvastatin,Moderate
omeprazole,simvastatin,Safe
metformin,omeprazole,Safe
warfarin,omeprazole,Moderate
metoprolol,amlodipine,Moderate
omeprazole,levothyroxine,Moderate
calcium,levothyroxine,Moderate
amlodipine,atorvastatin,Moderate
warfarin,atorvastatin,Moderate
insulin,metoprolol,Moderate
albuterol,metoprolol,Dangerous
hydrochlorothiazide,losartan,Safe
aspirin,losartan,Moderate
propranolol,albuterol,Dangerous
hydrocodone,gabapentin,Moderate
tramadol,gabapentin,Moderate
aspirin,prednisone,Moderate
ibuprofen,prednisone,Moderate
warfarin,prednisone,Dangerous
metformin,amoxicillin,Safe
warfarin,amoxicillin,Moderate
warfarin,azithromycin,Moderate
simvastatin,azithromycin,Moderate
warfarin,ciprofloxacin,Dangerous
insulin,ciprofloxacin,Moderate
tramadol,sertraline,Dangerous
tramadol,escitalopram,Dangerous
tramadol,fluoxetine,Dangerous
hydrocodone,alprazolam,Dangerous
oxycodone,alprazolam,Dangerous
alcohol,alprazolam,Dangerous
ibuprofen,aspirin,Moderate
warfarin,aspirin,Dangerous
clopidogrel,aspirin,Dangerous
paracetamol,aspirin,Safe
paracetamol,ibuprofen,Safe
warfarin,ibuprofen,Dangerous
metformin,ibuprofen,Safe
metformin,paracetamol,Safe
lisinopril,paracetamol,Safe
insulin,metformin,Moderate
simvastatin,metformin,Safe
amlodipine,lisinopril,Safe
metformin,lisinopril,Safe
hydrochlorothiazide,lisinopril,Moderate
amlodipine,simvastatin,Moderate
omeprazole,simvastatin,Safe
metformin,omeprazole,Safe
warfarin,omeprazole,Moderate
metoprolol,amlodipine,Moderate
omeprazole,levothyroxine,Moderate
calcium,levothyroxine,Moderate
amlodipine,atorvastatin,Moderate
warfarin,atorvastatin,Moderate
insulin,metoprolol,Moderate
albuterol,metoprolol,Dangerous
hydrochlorothiazide,losartan,Safe
aspirin,losartan,Moderate
propranolol,albuterol,Dangerous
hydrocodone,gabapentin,Moderate
tramadol,gabapentin,Moderate
aspirin,prednisone,Moderate
ibuprofen,prednisone,Moderate
